,Country,Happiness,GDP per Capita,Social Support,Life Expectancy,Freedom,Corruption,Generosity,Year,latitude,longitude
58,New Zealand,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,2017,-40.900557,174.885971
59,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018,-40.900557,174.885971
60,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019,-40.900557,174.885971
61,New Zealand,7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,2020,-40.900557,174.885971
62,New Zealand,7.277,10.643,0.948,73.4,0.929,0.134,0.242,2021,-40.900557,174.885971
63,Australia,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2015,-25.274398,133.775136
64,Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2016,-25.274398,133.775136
65,Australia,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2017,-25.274398,133.775136
66,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018,-25.274398,133.775136
67,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019,-25.274398,133.775136
68,Australia,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,2020,-25.274398,133.775136
69,Australia,7.183,10.796,0.94,73.9,0.914,0.159,0.442,2021,-25.274398,133.775136
70,Israel,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,2015,31.046051,34.851612
71,Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,2016,31.046051,34.851612
72,Israel,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421,2017,31.046051,34.851612
73,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018,31.046051,34.851612
74,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019,31.046051,34.851612
75,Israel,7.128600121,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,2020,31.046051,34.851612
76,Israel,7.157,10.575,0.939,73.503,0.8,0.031,0.753,2021,31.046051,34.851612
77,Costa Rica,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,2015,9.748917,-83.753428
78,Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,2016,9.748917,-83.753428
79,Costa Rica,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589,2017,9.748917,-83.753428
80,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018,9.748917,-83.753428
81,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019,9.748917,-83.753428
82,Costa Rica,7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,2020,9.748917,-83.753428
83,Costa Rica,7.069,9.88,0.891,71.4,0.934,-0.126,0.809,2021,9.748917,-83.753428
84,Austria,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2015,47.516231,14.550072
85,Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2016,47.516231,14.550072
86,Austria,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2017,47.516231,14.550072
87,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018,47.516231,14.550072
88,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,47.516231,14.550072
89,Austria,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,2020,47.516231,14.550072
90,Austria,7.268,10.906,0.934,73.3,0.908,0.042,0.481,2021,47.516231,14.550072
91,Mexico,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,2015,23.634501,-102.552784
92,Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,2016,23.634501,-102.552784
93,Mexico,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,2017,23.634501,-102.552784
94,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018,23.634501,-102.552784
95,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2019,23.634501,-102.552784
96,Mexico,6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,2020,23.634501,-102.552784
97,Mexico,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,2021,23.634501,-102.552784
98,United States,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2015,37.09024,-95.712891
99,United States,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2016,37.09024,-95.712891
100,United States,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,2017,37.09024,-95.712891
101,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018,37.09024,-95.712891
102,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019,37.09024,-95.712891
103,United States,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,2020,37.09024,-95.712891
104,United States,6.951,11.023,0.92,68.2,0.837,0.098,0.698,2021,37.09024,-95.712891
105,Brazil,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,2015,-14.235004,-51.92528
106,Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,2016,-14.235004,-51.92528
107,Brazil,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,2017,-14.235004,-51.92528
108,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018,-14.235004,-51.92528
109,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019,-14.235004,-51.92528
110,Brazil,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,2020,-14.235004,-51.92528
111,Brazil,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,2021,-14.235004,-51.92528
112,Luxembourg,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,2015,49.815273,6.129583
113,Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2016,49.815273,6.129583
