,Country,Happiness,GDP per Capita,Social Support,Life Expectancy,Freedom,Corruption,Generosity,Year
1051,Mali,4.723,7.744,0.724,51.969,0.6970000000000001,-0.036,0.8270000000000001,2021
1052,Iran,4.721,9.584,0.71,66.3,0.608,0.218,0.714,2021
1053,Uganda,4.636,7.677,0.781,56.101,0.709,0.122,0.855,2021
1054,Liberia,4.625,7.288,0.72,56.498,0.735,0.05,0.85,2021
1055,Kenya,4.607,8.361,0.6880000000000001,60.704,0.779,0.287,0.8250000000000001,2021
1056,Tunisia,4.596,9.266,0.6910000000000001,67.201,0.656,-0.201,0.87,2021
1057,Lebanon,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,2021
1058,Namibia,4.574,9.161,0.8180000000000001,56.799,0.719,-0.149,0.847,2021
1059,Palestinian Territories,4.517,8.485,0.8260000000000001,62.25,0.653,-0.163,0.8210000000000001,2021
1060,Myanmar,4.426,8.541,0.779,59.302,0.876,0.509,0.66,2021
1061,Jordan,4.395,9.182,0.767,67.0,0.755,-0.167,0.705,2021
1062,Chad,4.355,7.364,0.619,48.478,0.579,0.041,0.807,2021
1063,Sri Lanka,4.325,9.47,0.8270000000000001,67.299,0.841,0.079,0.863,2021
1064,Swaziland,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,2021
1065,Comoros,4.289,8.031,0.626,57.349,0.548,0.082,0.781,2021
1066,Egypt,4.283,9.367,0.75,61.998,0.749,-0.182,0.795,2021
1067,Ethiopia,4.275,7.694,0.764,59.0,0.752,0.082,0.761,2021
1068,Mauritania,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,2021
1069,Madagascar,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,2021
1070,Togo,4.107,7.362,0.5690000000000001,54.914,0.619,0.032,0.772,2021
1071,Zambia,4.073,8.145,0.708,55.809,0.782,0.061,0.8230000000000001,2021
1072,Sierra Leone,3.849,7.434,0.63,51.651,0.717,0.084,0.866,2021
1073,India,3.819,8.755,0.603,60.633,0.893,0.089,0.774,2021
1074,Burundi,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,2021
1075,Yemen,3.658,7.578,0.8320000000000001,57.122,0.602,-0.147,0.8,2021
1076,Tanzania,3.623,7.876,0.7020000000000001,57.999,0.833,0.183,0.577,2021
1077,Haiti,3.615,7.477,0.54,55.7,0.593,0.422,0.721,2021
1078,Malawi,3.6,6.958,0.537,57.948,0.78,0.038,0.729,2021
1079,Lesotho,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,2021
1080,Botswana,3.467,9.782,0.784,59.269,0.8240000000000001,-0.246,0.801,2021
1081,Rwanda,3.415,7.676,0.552,61.4,0.897,0.061,0.167,2021
1082,Zimbabwe,3.145,7.943,0.75,56.201,0.677,-0.047,0.8210000000000001,2021
1083,Afghanistan,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,2021
